,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty
0,drosophila,1,2,{'emb_c'},0.05,0.0,[-15.78296979],0.3531603078434583,0.35937370295162785,0.891669371246272,-1.0
1,drosophila,1,2,{'emb_c'},0.05,0.0,[-14.99697896],0.3583398205432868,0.36223677662640413,0.8952216653624931,-1.0
2,drosophila,1,2,{'emb_c'},0.05,0.0,[-14.28329095],0.3661712320353765,0.33354961315160486,0.8911420871987693,-1.0
3,drosophila,1,2,{'emb_c'},0.05,0.0,[-15.53514315],0.38171339818523664,0.35910839070297573,0.8950881390335146,-1.0
4,drosophila,1,2,{'emb_c'},0.05,0.0,[-15.76357548],0.38461222814936397,0.3586284518571421,0.8930673897525478,-1.0
5,drosophila,1,2,{'emb_c'},0.05,0.0,[-15.89522715],0.39518970744898796,0.33764129985363994,0.8857166585874503,-1.0
6,drosophila,1,2,{'emb_c'},0.05,0.0,[-15.02689443],0.3549737360472751,0.3179629053213845,0.8839235097363891,-1.0
7,drosophila,1,2,{'emb_c'},0.05,0.0,[-15.33581608],0.37636341353813474,0.3259670125638125,0.889937065457676,-1.0
8,drosophila,1,2,{'emb_c'},0.05,0.0,[-14.4452218],0.37817601571130477,0.3733728390710448,0.897017881805408,-1.0
9,drosophila,1,2,{'emb_c'},0.05,0.0,[-15.74633661],0.3634242200933432,0.3256999678730194,0.8838111203545584,-1.0
10,drosophila,1,2,{'emb_c'},0.14,0.0,[-20.44525473],0.23631750634287785,0.21360429459494334,0.8523956697620094,-1.0
11,drosophila,1,2,{'emb_c'},0.14,0.0,[-20.14322187],0.2153728040464255,0.2014136341349942,0.8474920162853741,-1.0
12,drosophila,1,2,{'emb_c'},0.14,0.0,[-22.131406],0.21747397012222724,0.21003339649567637,0.8503967442713797,-1.0
13,drosophila,1,2,{'emb_c'},0.14,0.0,[-22.0422745],0.21749954734745608,0.227855589800752,0.8568961909950488,-1.0
14,drosophila,1,2,{'emb_c'},0.14,0.0,[-21.33668632],0.22248868778280542,0.20729544540018313,0.8492325595670416,-1.0
15,drosophila,1,2,{'emb_c'},0.14,0.0,[-21.8510055],0.22154766219644798,0.210014260087731,0.8483910488692379,-1.0
16,drosophila,1,2,{'emb_c'},0.14,0.0,[-20.77562365],0.21653132513723178,0.20937431688799363,0.8523222475998298,-1.0
17,drosophila,1,2,{'emb_c'},0.14,0.0,[-21.58314475],0.21933523783612208,0.2255624907083197,0.8536587243704221,-1.0
18,drosophila,1,2,{'emb_c'},0.14,0.0,[-22.32197516],0.2331310569694774,0.19648371590982838,0.8475747750543859,-1.0
19,drosophila,1,2,{'emb_c'},0.14,0.0,[-21.12528511],0.23402047904731832,0.2500931341976591,0.8626259321898786,-1.0
20,drosophila,1,2,{'emb_c'},0.22999999999999998,0.0,[-22.86613607],0.13901774909237596,0.18110988087431298,0.8416376371301864,-1.0
21,drosophila,1,2,{'emb_c'},0.22999999999999998,0.0,[-21.94389137],0.17581973424948213,0.19815681479370892,0.8458320351537659,-1.0
22,drosophila,1,2,{'emb_c'},0.22999999999999998,0.0,[-22.06704858],0.15505800111443188,0.17707958103742522,0.8413858369064853,-1.0
23,drosophila,1,2,{'emb_c'},0.22999999999999998,0.0,[-21.59297349],0.13802306259126845,0.1750305264408873,0.8406549100990106,-1.0
24,drosophila,1,2,{'emb_c'},0.22999999999999998,0.0,[-20.77608819],0.15551509634349872,0.1742266052450834,0.8399609807366886,-1.0
25,drosophila,1,2,{'emb_c'},0.22999999999999998,0.0,[-21.70680059],0.1539623401470144,0.17632651850859107,0.8406841391733741,-1.0
26,drosophila,1,2,{'emb_c'},0.22999999999999998,0.0,[-22.39984668],0.16967019727925306,0.18460960996650155,0.846148501978448,-1.0
27,drosophila,1,2,{'emb_c'},0.22999999999999998,0.0,[-21.14237678],0.1494147582697201,0.15629445184268795,0.8333837227950939,-1.0
28,drosophila,1,2,{'emb_c'},0.22999999999999998,0.0,[-21.93634361],0.15225668883586332,0.1641922050441693,0.8375554342296242,-1.0
29,drosophila,1,2,{'emb_c'},0.22999999999999998,0.0,[-21.43633795],0.15879915091478825,0.18665680811901353,0.840495063477637,-1.0
30,drosophila,1,2,{'emb_c'},0.32,0.0,[-19.08184258],0.11502091810418935,0.14136878756039428,0.8319894353237232,-1.0
31,drosophila,1,2,{'emb_c'},0.32,0.0,[-17.74128212],0.10964862080805769,0.15124180469317208,0.8308111407773092,-1.0
32,drosophila,1,2,{'emb_c'},0.32,0.0,[-17.53400174],0.1105752669652084,0.13798012252333142,0.8304400305717896,-1.0
33,drosophila,1,2,{'emb_c'},0.32,0.0,[-18.53211635],0.11047979797979798,0.17158201706608567,0.8357681092577885,-1.0
34,drosophila,1,2,{'emb_c'},0.32,0.0,[-17.54330489],0.10326490937160501,0.13844169324008343,0.8303308977643795,-1.0
35,drosophila,1,2,{'emb_c'},0.32,0.0,[-17.57522293],0.10730423840302007,0.14989670737555744,0.8304873920081537,-1.0
36,drosophila,1,2,{'emb_c'},0.32,0.0,[-17.62796623],0.11977715877437325,0.14429755857820564,0.8321275716444476,-1.0
37,drosophila,1,2,{'emb_c'},0.32,0.0,[-19.99025911],0.10228305315765561,0.13180639902625674,0.827912847048741,-1.0
38,drosophila,1,2,{'emb_c'},0.32,0.0,[-18.88651809],0.10991726039990807,0.15824208260344616,0.8302004490678725,-1.0
39,drosophila,1,2,{'emb_c'},0.32,0.0,[-19.80717023],0.11034208884098258,0.14538736760789572,0.8312601246226852,-1.0
40,drosophila,1,2,{'emb_c'},0.41,0.0,[-8.65061327],0.08440657816524669,0.11571565699586106,0.8263759472082047,-1.0
41,drosophila,1,2,{'emb_c'},0.41,0.0,[-8.67661318],0.0839784805143682,0.12074595969429268,0.821261723439187,-1.0
42,drosophila,1,2,{'emb_c'},0.41,0.0,[-7.8925572],0.08182538634262317,0.11745198085852872,0.8257630774483244,-1.0
43,drosophila,1,2,{'emb_c'},0.41,0.0,[-8.67101121],0.09708801682771313,0.11638144930206239,0.8234815275298242,-1.0
44,drosophila,1,2,{'emb_c'},0.41,0.0,[-8.94444305],0.0853008878658336,0.12537946368231828,0.8275272639130622,-1.0
45,drosophila,1,2,{'emb_c'},0.41,0.0,[-7.95254927],0.08656202397509768,0.12292305025312335,0.8245326341745389,-1.0
